"sentiment","token","count","sentiment_label"
0,"get",45319,"Negative"
0,"go",44696,"Negative"
0,"work",43249,"Negative"
0,"day",40687,"Negative"
0,"like",40683,"Negative"
0,"today",37663,"Negative"
0,"going",33230,"Negative"
0,"got",33011,"Negative"
0,"back",32381,"Negative"
0,"really",30854,"Negative"
0,"im",30335,"Negative"
0,"miss",29153,"Negative"
0,"want",29007,"Negative"
0,"still",28892,"Negative"
0,"good",28049,"Negative"
0,"time",27287,"Negative"
0,"sad",27244,"Negative"
0,"one",27036,"Negative"
0,"quot",25775,"Negative"
0,"know",25436,"Negative"
0,"home",23418,"Negative"
0,"lol",22979,"Negative"
0,"last",22262,"Negative"
0,"amp",22226,"Negative"
0,"oh",22015,"Negative"
0,"need",21939,"Negative"
0,"wish",21858,"Negative"
0,"think",21652,"Negative"
0,"bad",21310,"Negative"
0,"feel",21245,"Negative"
1,"good",58032,"Positive"
1,"love",46349,"Positive"
1,"quot",45283,"Positive"
1,"day",44900,"Positive"
1,"like",36803,"Positive"
1,"lol",35670,"Positive"
1,"get",34747,"Positive"
1,"going",30439,"Positive"
1,"time",29811,"Positive"
1,"today",29667,"Positive"
1,"thanks",29281,"Positive"
1,"go",28081,"Positive"
1,"got",27603,"Positive"
1,"new",26453,"Positive"
1,"one",26349,"Positive"
1,"amp",25785,"Positive"
1,"see",25457,"Positive"
1,"know",25347,"Positive"
1,"great",24780,"Positive"
1,"ll",24334,"Positive"
1,"back",23327,"Positive"
1,"night",23108,"Positive"
1,"well",23053,"Positive"
1,"re",21736,"Positive"
1,"haha",21406,"Positive"
1,"im",19820,"Positive"
1,"think",19308,"Positive"
1,"work",19245,"Positive"
1,"happy",19045,"Positive"
1,"hope",18968,"Positive"
